Date,ZoneID,ZoneName,LST_Celsius,NDVI,DewPoint_C,AirTemp_C,AirTemp_F,RH_C,HRI,HRI Level
18/02/2000,Z01,Colombo North,29.44,0.300854196,23.07,25.97,78.746,84.0691697,5.406313755,High Risk
05/03/2000,Z01,Colombo North,28.95,0.420612238,23.45,26.62,79.916,82.78200449,4.503705741,Caution
21/03/2000,Z01,Colombo North,32.45,0.391016819,22.36,27.21,80.978,74.85212788,4.9847798,Caution
06/04/2000,Z01,Colombo North,35.82,0.380797803,23.47,25.54,77.972,88.34886621,5.248629376,High Risk
22/04/2000,Z01,Colombo North,35.3,0.280520822,24.24,26.38,79.484,88.04705354,6.299268959,Extreme Danger
08/05/2000,Z01,Colombo North,28.05,0.416384424,24.78,27.18,80.924,86.75732253,4.744175419,Caution
24/05/2000,Z01,Colombo North,26.87,0.349684295,25.07,27.01,80.618,89.15657539,5.229351615,High Risk
09/06/2000,Z01,Colombo North,29.08,0.386951569,24.52,26.3,79.34,89.96003489,4.906909958,Caution
25/06/2000,Z01,Colombo North,30.78,0.38013443,24.25,26.43,79.574,87.84034156,5.086309099,High Risk
11/07/2000,Z01,Colombo North,34.25,0.342901596,24.63,26.6,79.88,88.96562947,5.772657395,High Risk
27/07/2000,Z01,Colombo North,32.78,0.243242853,23.28,25.32,77.576,88.49105139,6.103857668,Extreme Danger
12/08/2000,Z01,Colombo North,35.44,0.132421079,23.48,26.26,79.268,84.71182787,7.440617289,Extreme Danger
28/08/2000,Z01,Colombo North,29.57,0.374137941,23.46,25.06,77.108,90.85319468,4.7116568,Caution
13/09/2000,Z01,Colombo North,27.54,0.42601636,23.53,26.77,80.186,82.45093534,4.375611617,Caution
29/09/2000,Z01,Colombo North,27.06,0.472172626,24.02,25.95,78.71,89.12902654,3.887851962,Caution
15/10/2000,Z01,Colombo North,32.79,0.521778106,24.2,26.56,79.808,86.90862744,4.061956577,Caution
31/10/2000,Z01,Colombo North,27.3,0.429584122,23.94,26.35,79.43,86.62887868,4.319436868,Caution
16/11/2000,Z01,Colombo North,31.36,0.480812694,22.16,27.3,81.14,73.55737337,4.117545545,Caution
02/12/2000,Z01,Colombo North,28.14,0.49260063,23.02,26.29,79.322,82.24442393,3.711167082,Caution
18/12/2000,Z01,Colombo North,32.87,0.410438263,21.17,24.87,76.766,79.93883368,4.314636751,Caution
01/01/2001,Z01,Colombo North,29.81,0.421429358,23.4,25.83,78.494,86.47611562,4.43841002,Caution
17/01/2001,Z01,Colombo North,27.12,0.211662429,19.3,25.23,77.414,69.70266472,5.321571496,High Risk
02/02/2001,Z01,Colombo North,29.9,0.465472673,23.24,24.8,76.64,91.05602286,3.890769905,Caution
18/02/2001,Z01,Colombo North,30.3,0.469330769,23.54,25.83,78.494,87.20934323,4.092372763,Caution
